CustomerID,Frequency,Monetary_value,Average_price,Recency,Country
12347,7,44.04857143,1.741523297,2,Others
12348,1,201.36,0.524375,358,Others
12349,1,178.57,3.799361702,18,Others
12350,1,25.2,2.1,310,Others
12352,5,37.13,4.722285714,80,Others
12353,1,39.8,9.95,204,Others
12354,1,55.8,3.4875,232,Others
12355,1,17.7,2.95,214,Others
12356,2,75.45,1.005555556,245,Others
12357,1,557.28,2.143384615,33,Others
12359,5,137.24,11.65255556,7,Others
12360,3,58.52666667,2.067777778,52,Others
12361,1,16.5,1.65,287,Others
12362,10,56.347,3.18825641,3,Others
12363,2,23.7,1.35,109,Others
12364,3,62.56666667,1.202874873,7,Others
12365,1,12.5,1.25,291,Others
12367,1,9.9,4.95,4,Others
12370,3,89.75,4.667063492,51,Others
12371,2,262.02,21.367,44,Others
12372,3,59,2.022666667,71,Others
12373,1,39,1.95,311,Others
12374,1,184.65,4.196590909,25,Others
12375,2,30.4,21.04,10,Others
12377,2,69.57,1.55875,315,Others
12378,1,440.42,1.819917355,129,Others
12379,2,31.65,1.9,81,Others
12380,4,75.1625,2.714393655,21,Others
12381,4,63.2625,4.449594156,4,Others
12383,4,47.32,1.277451737,238,Others
12384,3,19.63,3.683333333,28,Others
12386,1,101.4,2.816666667,366,Others
12388,5,80.852,2.131887081,75,Others
12390,1,65.7,1.6425,79,Others
12391,1,97.59,1.267402597,21,Others
12393,3,73.33333333,1.956186869,72,Others
12394,2,76.3,2.9,63,Others
12395,10,28.646,1.419547049,19,Others
12397,2,112.68,1.85049569,35,Others
12398,1,161.72,0.908539326,45,Others
12399,1,15,1.25,213,Others
12401,1,25.5,12.75,303,Others
12402,1,54.9,2.495454545,323,Others
12405,1,200.25,3.178571429,148,Others
12406,2,318.935,1.762402621,22,Others
12407,4,51.005,1.020909091,134,Others
12408,5,66.91,4.488428687,32,Others
12409,2,742.92,1.480282634,78,Others
12410,1,66.6,2.378571429,308,Others
12412,3,94.02,2.201633333,74,Others
12413,1,18,18,66,Others
12414,1,19.8,1.65,217,Others
12415,16,828.40625,17.98498837,24,Others
12417,9,51.29777778,4.053596421,3,Others
12418,1,50.46,0.764545455,112,Others
12420,1,43.77,0.694761905,63,Others
12421,3,27.41666667,2.775,15,Others
12422,2,33.275,1.76,168,Others
12423,7,48.31142857,1.361794299,0,Others
12424,1,118,2.95,162,Others
12425,1,55.6,2.138461538,78,Others
12426,1,17.7,2.95,194,Others
12427,2,-12.69,1.08,11,Others
12428,8,113.30875,8.337529641,25,Others
12429,3,96.7,2.844047619,172,Others
12430,1,76.56,1.74,43,Others
12431,11,41.92454545,4.474002553,60,Others
12432,3,218.26,3.010430108,42,Others
12433,6,241.6816667,1.158885868,0,Others
12434,2,66.88,4.841875,84,Others
12435,2,444.15,8.222881356,79,Others
12436,1,13.2,0.55,99,Others
12437,11,47.13636364,3.00060087,9,Others
12438,2,167.45,4.933569501,14,Others
12441,1,50.7,2.668421053,366,Others
12444,3,182.2,3.554274989,21,Others
12445,1,17.4,1.45,22,Others
12446,1,70.4,2.514285714,57,Others
12447,1,35.4,2.95,243,Others
12448,1,7.75,1.55,44,Others
12449,4,75.19,2.212416667,22,Others
12451,6,154.5166667,1.583502709,10,Others
12452,2,15.14,1.396666667,16,Others
12453,1,59.7,1.99,134,Others
12454,1,-809.12,2.198695652,53,Others
12455,4,74.15,7.869856591,73,Others
12456,3,176.8533333,3.849472574,44,Others
12457,4,37.7625,5.058125,66,Others
12458,2,71.88,4.268333333,71,Others
12461,1,132.15,2.696938776,154,Others
12462,3,25.24333333,2.90562724,2,Others
12463,5,21.844,3.330760959,46,Others
12464,4,29.325,11.7375,10,Others
12465,2,40.8,1.062857143,17,Others
12468,2,59.225,1.874468085,187,Others
12471,23,96.8526087,2.594514804,2,Others
12472,9,69.79444444,1.985405785,31,Others
12473,4,75.675,0.909051402,53,Others
12474,15,56.662,1.971634024,17,Others
12475,1,75.9,0.519863014,53,Others
12476,12,70.61666667,6.516672508,1,Others
12477,6,288.8016667,3.483348928,22,Others
12478,1,50.64,1.808571429,3,Others
12479,2,45.775,3.086144578,4,Others
12480,4,67.85,2.070455044,28,Others
12481,9,46.86666667,1.22525334,22,Others
12483,4,101.345,13.6153022,17,Others
12484,4,125.7225,2.87000514,35,Others
12488,3,57.06666667,3.141666667,9,Others
12489,1,48.75,9.75,336,Others
12490,10,69.994,1.58814652,5,Others
12491,1,44.5,0.767241379,38,Others
12492,1,38.04,1.585,105,Others
12493,2,29.54,3.679130435,165,Others
12494,6,16.42166667,1.767777778,15,Others
12497,1,105,0.42,81,Others
12498,2,21.35,2.1,21,Others
12500,7,110.1985714,6.809142857,23,Others
12501,2,165.395,1.203475275,315,Others
12502,5,120.42,5.275860815,95,Others
